seed,policy,tau_c,tau_r,C_h,automation_rate,exposure_rate,leakage_rate,system_f1,system_precision,system_recall,sens_precision,sens_recall,sens_f1,nsens_precision,nsens_recall,nsens_f1,expected_cost,human_cost,error_cost,leak_cost,n_deferred,n_total
42,privacy_triggered,0.85,0.2,20.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,0.0,0.0,100,100
42,privacy_triggered,0.85,0.2,40.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,40.0,0.0,0.0,100,100
42,privacy_triggered,0.85,0.3,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,100,100
42,privacy_triggered,0.85,0.3,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,100,100
42,privacy_triggered,0.85,0.3,10.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,100,100
42,privacy_triggered,0.85,0.3,20.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,0.0,0.0,100,100
42,privacy_triggered,0.85,0.3,40.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,40.0,0.0,0.0,100,100
42,privacy_triggered,0.85,0.4,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,100,100
42,privacy_triggered,0.85,0.4,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,100,100
42,privacy_triggered,0.85,0.4,10.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,100,100
42,privacy_triggered,0.85,0.4,20.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,0.0,0.0,100,100
42,privacy_triggered,0.85,0.4,40.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,40.0,0.0,0.0,100,100
